Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-35,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",680.0,3.6,133.0
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-36,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448.0,4.3,12999.0
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-37,"Lenovo 15.6"" Casual Backpack B210",749.0,4.2,27725.0
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-38,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899.0,3.9,935.0
https://www.amazon.in/Storite-Backpack-Waterproof-Dustproof-Adjustable/dp/B0C7ZWNBJZ/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-39,"Storite Dust & Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black)",189.0,5.0,1.0
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-40,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699.0,3.8,539.0
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-41,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569.0,4.0,427.0
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-42,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",550.0,4.3,11551.0
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_43?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-43,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839.0,4.0,13806.0
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_44?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-44,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569.0,4.0,427.0
